Method,Dataset,Seed,Output_Level,PR,RC,AUC,AP,F1
TraceAnomaly,MSDS,1,node,0.405,0.5786,0.8987,0.7628,0.4765
TraceAnomaly,MSDS,2,node,0.445,0.5563,0.8667,0.7547,0.4944
TraceAnomaly,MSDS,3,node,0.4313,0.5417,0.8527,0.7459,0.4802
TraceAnomaly,MSDS,4,node,0.4472,0.5266,0.8884,0.742,0.4837
TraceAnomaly,MSDS,5,node,0.4208,0.5503,0.8915,0.772,0.4769
TraceAnomaly,MSDS,6,node,0.3739,0.5287,0.899,0.7393,0.438
TraceAnomaly,MSDS,7,node,0.4009,0.5592,0.8868,0.7507,0.467
TraceAnomaly,MSDS,8,node,0.4043,0.5569,0.9156,0.756,0.4685
TraceAnomaly,MSDS,9,node,0.4197,0.5127,0.8773,0.7269,0.4615
TraceAnomaly,MSDS,10,node,0.4206,0.5455,0.894,0.7409,0.4749
TraceAnomaly,GAIA,6,node,0.0486,0.0087,0.3883,0.4878,0.0148
TraceAnomaly,GAIA,10,node,0.0451,0.0104,0.3935,0.4895,0.0169
TraceAnomaly,GAIA,4,node,0.0506,0.0106,0.3898,0.4886,0.0176
TraceAnomaly,GAIA,2,node,0.0467,0.0109,0.3763,0.4872,0.0177
TraceAnomaly,GAIA,9,node,0.0543,0.0125,0.383,0.488,0.0203
TraceAnomaly,GAIA,8,node,0.0457,0.0106,0.4049,0.4897,0.0173
TraceAnomaly,GAIA,1,node,0.0481,0.0106,0.3903,0.4884,0.0174
TraceAnomaly,GAIA,7,node,0.044,0.0094,0.3831,0.4878,0.0155
TraceAnomaly,GAIA,5,node,0.0476,0.009,0.3908,0.4884,0.0151
TraceAnomaly,GAIA,3,node,0.048,0.0095,0.3932,0.4893,0.0159
TranAD,MSDS,1,node,0.1743,0.6214,0.8815,0.625,0.2723
TranAD,MSDS,8,node,0.1688,0.6228,0.9247,0.6376,0.2656
TranAD,MSDS,2,node,0.1509,0.5687,0.8762,0.6475,0.2385
TranAD,MSDS,10,node,0.1744,0.5939,0.8671,0.6636,0.2696
TranAD,MSDS,9,node,0.11,0.4051,0.7982,0.598,0.173
TranAD,MSDS,4,node,0.1756,0.6391,0.8726,0.6232,0.2755
TranAD,MSDS,6,node,0.1552,0.5605,0.8415,0.6322,0.2431
TranAD,MSDS,3,node,0.1218,0.4583,0.8801,0.628,0.1925
TranAD,MSDS,7,node,0.1299,0.5,0.6878,0.6303,0.2062
TranAD,MSDS,5,node,0.1371,0.4793,0.8112,0.5878,0.2132
TranAD,GAIA,9,node,0.1711,0.3315,0.718,0.5498,0.2257
TranAD,GAIA,10,node,0.1486,0.2769,0.6924,0.5435,0.1934
TranAD,GAIA,6,node,0.1193,0.2215,0.6268,0.5212,0.1551
TranAD,GAIA,2,node,0.129,0.2431,0.6653,0.5279,0.1686
TranAD,GAIA,5,node,0.1295,0.242,0.6836,0.5364,0.1687
TranAD,GAIA,7,node,0.0872,0.1576,0.6488,0.5207,0.1123
TranAD,GAIA,1,node,0.1078,0.1951,0.7032,0.5386,0.1389
TranAD,GAIA,8,node,0.1521,0.29,0.7241,0.5646,0.1996
TranAD,GAIA,4,node,0.111,0.1995,0.6165,0.532,0.1426
TranAD,GAIA,3,node,0.0914,0.1633,0.6666,0.5263,0.1172
OneLog,MSDS,8,node,0.7157,0.4371,0.7647,0.7384,0.5428
OneLog,MSDS,7,node,0.6479,0.3026,0.6792,0.6713,0.4126
OneLog,MSDS,10,node,0.7294,0.3758,0.7133,0.7113,0.496
OneLog,MSDS,1,node,0.7174,0.4714,0.7309,0.7361,0.569
OneLog,MSDS,9,node,0.6724,0.4937,0.7283,0.7243,0.5693
OneLog,MSDS,3,node,0.6581,0.4583,0.7131,0.7002,0.5404
OneLog,MSDS,6,node,0.5379,0.4522,0.7164,0.684,0.4913
OneLog,MSDS,2,node,0.6627,0.3438,0.7073,0.6905,0.4527
OneLog,MSDS,5,node,0.5963,0.4167,0.7258,0.704,0.4906
OneLog,MSDS,4,node,0.508,0.5621,0.7417,0.7088,0.5337
OneLog,GAIA,5,node,0.142,0.5284,0.7955,0.5679,0.2239
OneLog,GAIA,4,node,0.1279,0.4219,0.8414,0.602,0.1963
OneLog,GAIA,8,node,0.1948,0.4853,0.8791,0.6161,0.278
OneLog,GAIA,2,node,0.1162,0.3588,0.827,0.5691,0.1755
OneLog,GAIA,7,node,0.1062,0.5838,0.7993,0.5678,0.1797
OneLog,GAIA,6,node,0.1387,0.5992,0.7947,0.5613,0.2252
OneLog,GAIA,1,node,0.1255,0.5694,0.8182,0.5563,0.2056
OneLog,GAIA,9,node,0.2482,0.3558,0.8691,0.6319,0.2924
OneLog,GAIA,10,node,0.1113,0.685,0.7963,0.5646,0.1915
OneLog,GAIA,3,node,0.129,0.3687,0.8363,0.5688,0.1911
Hades,MSDS,4,node,0.9277,0.9112,0.9932,0.9698,0.9194
Hades,MSDS,3,node,0.8977,0.9405,0.9946,0.972,0.9186
Hades,MSDS,10,node,0.8833,0.9636,0.995,0.9778,0.9217
Hades,MSDS,7,node,0.9221,0.9342,0.9926,0.9769,0.9281
Hades,MSDS,8,node,0.8656,0.9641,0.9921,0.9744,0.9122
Hades,MSDS,6,node,0.8895,0.9745,0.9931,0.9749,0.9301
Hades,MSDS,5,node,0.9494,0.8876,0.9931,0.9731,0.9174
Hades,MSDS,9,node,0.9125,0.9241,0.9945,0.9746,0.9182
Hades,MSDS,1,node,0.9073,0.9786,0.9963,0.9872,0.9416
Hades,MSDS,2,node,0.9329,0.8688,0.9884,0.9686,0.8997
Hades,GAIA,8,node,0.1873,0.4675,0.8669,0.6261,0.2674
Hades,GAIA,4,node,0.1827,0.4771,0.8577,0.6179,0.2642
Hades,GAIA,10,node,0.2005,0.3818,0.8614,0.6224,0.2629
Hades,GAIA,7,node,0.1939,0.4393,0.8619,0.6272,0.269
Hades,GAIA,1,node,0.1979,0.4326,0.8654,0.6285,0.2716
Hades,GAIA,5,node,0.1849,0.4532,0.8616,0.6232,0.2627
Hades,GAIA,6,node,0.1733,0.5743,0.8635,0.6259,0.2663
Hades,GAIA,9,node,0.2004,0.3878,0.8658,0.6257,0.2642
Hades,GAIA,2,node,0.1984,0.4561,0.8634,0.6313,0.2765
Hades,GAIA,3,node,0.1787,0.5322,0.8642,0.6274,0.2675
DeepTraLog,MSDS,5,node,0.8486,0.929,0.9987,0.9599,0.887
DeepTraLog,MSDS,3,node,0.9,0.9107,0.9981,0.9671,0.9053
DeepTraLog,MSDS,2,node,0.9128,0.85,0.9902,0.9655,0.8803
DeepTraLog,MSDS,10,node,0.7415,0.9212,0.9881,0.8656,0.8216
DeepTraLog,MSDS,6,node,0.8613,0.949,0.9987,0.9606,0.903
DeepTraLog,MSDS,4,node,0.8947,0.9053,0.9951,0.9641,0.9
DeepTraLog,MSDS,1,node,0.8553,0.9714,0.998,0.9726,0.9097
DeepTraLog,MSDS,8,node,0.6543,0.9521,0.9871,0.7255,0.7756
DeepTraLog,MSDS,9,node,0.787,0.8418,0.9787,0.897,0.8135
DeepTraLog,MSDS,7,node,0.7206,0.9671,0.9979,0.8947,0.8258
DeepTraLog,GAIA,2,node,0.1712,0.4478,0.7902,0.6047,0.2477
DeepTraLog,GAIA,9,node,0.1543,0.5835,0.7911,0.6008,0.244
DeepTraLog,GAIA,8,node,0.1692,0.4635,0.7916,0.6045,0.2479
DeepTraLog,GAIA,3,node,0.1555,0.575,0.789,0.6021,0.2448
DeepTraLog,GAIA,7,node,0.1618,0.5063,0.7852,0.6008,0.2453
DeepTraLog,GAIA,1,node,0.1576,0.5714,0.7894,0.6068,0.247
DeepTraLog,GAIA,10,node,0.1646,0.4812,0.7913,0.604,0.2453
DeepTraLog,GAIA,4,node,0.1615,0.5263,0.7882,0.6024,0.2471
